Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
5.55196	caller	0	43	FullDelay	5.13648	5.13648e+06	2	2
5.56252	caller	0	44	LastDelay	0.00401833	4018.33	1	2
5.56252	caller	0	44	FullDelay	5.12936	5.12936e+06	2	2
5.57589	caller	0	45	LastDelay	0.00401833	4018.33	1	2
5.57589	caller	0	45	FullDelay	5.14035	5.14035e+06	2	2
5.58706	caller	0	46	LastDelay	0.00401833	4018.33	1	2
5.58706	caller	0	46	FullDelay	5.13537	5.13537e+06	2	2
5.59649	caller	0	47	LastDelay	0.00401833	4018.33	1	2
5.59649	caller	0	47	FullDelay	5.14184	5.14184e+06	2	2
5.60731	caller	0	48	LastDelay	0.00401833	4018.33	1	2
5.60731	caller	0	48	FullDelay	5.14833	5.14833e+06	2	2
5.61785	caller	0	49	LastDelay	0.00401833	4018.33	1	2
5.61785	caller	0	49	FullDelay	5.14834	5.14834e+06	2	2
5.63113	caller	0	50	LastDelay	0.00401833	4018.33	1	2
5.63113	caller	0	50	FullDelay	5.14237	5.14237e+06	2	2
5.635	caller	0	51	LastDelay	0.00401833	4018.33	1	2
5.635	caller	0	51	FullDelay	5.13668	5.13668e+06	2	2
5.65215	caller	0	52	LastDelay	0.00401833	4018.33	1	2
5.65215	caller	0	52	FullDelay	5.14002	5.14002e+06	2	2
5.65653	caller	0	53	LastDelay	0.00401833	4018.33	1	2
5.65653	caller	0	53	FullDelay	5.14133	5.14133e+06	2	2
5.66987	caller	0	54	LastDelay	0.00401833	4018.33	1	2
5.66987	caller	0	54	FullDelay	5.14691	5.14691e+06	2	2
5.68161	caller	0	55	LastDelay	0.00401833	4018.33	1	2
5.68161	caller	0	55	FullDelay	5.13902	5.13902e+06	2	2
5.69796	caller	0	56	LastDelay	0.00401833	4018.33	1	2
5.69796	caller	0	56	FullDelay	5.13598	5.13598e+06	2	2
5.71615	caller	0	57	LastDelay	0.00401833	4018.33	1	2
5.71615	caller	0	57	FullDelay	5.14924	5.14924e+06	2	2
5.72603	caller	0	58	LastDelay	0.00401833	4018.33	1	2
5.72603	caller	0	58	FullDelay	5.1441	5.1441e+06	2	2
5.73452	caller	0	59	LastDelay	0.00401833	4018.33	1	2
5.73452	caller	0	59	FullDelay	5.14354	5.14354e+06	2	2
5.73965	caller	0	60	LastDelay	0.00401833	4018.33	1	2
5.73965	caller	0	60	FullDelay	5.13872	5.13872e+06	2	2
5.74778	caller	0	61	LastDelay	0.00401833	4018.33	1	2
5.74778	caller	0	61	FullDelay	5.12762	5.12762e+06	2	2
5.74799	caller	0	62	LastDelay	0.00401833	4018.33	1	2
5.74799	caller	0	62	FullDelay	5.11842	5.11842e+06	2	2
5.7524	caller	0	63	LastDelay	0.00401833	4018.33	1	2
